FID,OBJECTID,ESDCode,ESD,ESDName,NAME,DistrictNa,Labels,CODE,CCDDD,CC,DDD,County,AddressLin,AddressL_1,City,State,Zipcode,Administra,Phone,Email,UNSD,SDLEA,Region,OrgId,DistrictId,WEBSITE,SHAPE_Leng,DistrictCode,DistrictName,DistrictOrganizationId,FREQUENCY,SUM_All_Students,SUM_Female,SUM_Gender_X,SUM_Male,SUM_American_Indian__Alaskan_Native,SUM_Asian,SUM_Black__African_American,SUM_Hispanic__Latino_of_any_race_s_,SUM_Native_Hawaiian__Other_Pacific_Islander,SUM_Two_or_More_Races,SUM_White,SUM_English_Language_Learners,SUM_Foster_Care,SUM_Homeless,SUM_Low_Income,SUM_Migrant,SUM_Military_Parent,SUM_Mobile,SUM_Section_504,SUM_Students_with_Disabilities,SUM_Non_English_Language_Learners,SUM_Non_Foster_Care,SUM_Non_Homeless,SUM_Non_Low_Income,SUM_Non_Migrant,SUM_Non_Military_Parent,SUM_Non_Mobile,SUM_Non_Section_504,SUM_Students_without_Disabilities,SHAPE_Length,SHAPE_Area
11,11,17801,121,Puget Sound Educational Service District 121,BAINBRIDGE ISLAND,BAINBRIDGE ISLAND SCHOOL DISTRICT,Bainbridge Is.,18303,18303,18,303,Kitsap,8489 MADISON AVE NE, ,BAINBRIDGE ISLAND,Washington,98110-2999,Peter  Bang-Knudsen,(206)780-1050,pbangknudsen@bisd303.org,330,330,2,17,15,http://www.bainbridge.wednet.edu/,180923.8397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81856.25647,1814571819
12,12,6801,112,Educational Service District 112,BATTLE GROUND,BATTLE GROUND SCHOOL DISTRICT,Battle Ground,6119,6119,6,119,Clark,PO BOX 200, ,BATTLE GROUND,Washington,98604-0200,Mark  Ross,(360)885-5302,ross.mark@battlegroundps.org,380,380,1,18,16,http://www.battlegroundps.org/,544484.3927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238294.9414,7545452272
13,13,17801,121,Puget Sound Educational Service District 121,BELLEVUE,BELLEVUE SCHOOL DISTRICT,Bellevue,17405,17405,17,405,King,PO BOX 90010, ,BELLEVUE,Washington,98005-3183,Ivan  Duran,(425)456-4172,durani@bsd405.org,390,390,2,19,17,http://www.bsd405.org/,181582.8689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82066.83087,1076322894
14,14,29801,189,Northwest Educational Service District 189,BELLINGHAM,BELLINGHAM SCHOOL DISTRICT,Bellingham,37501,37501,37,501,Whatcom,1306 DUPONT ST, ,BELLINGHAM,Washington,98225-3118,Greg  Baker,(360)676-6501,greg.baker@bellinghamschools.org,420,420,3,20,18,http://bellinghamschools.org/,313302.9238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144593.7759,3841628722
15,15,32801,101,Educational Service District 101,BENGE,BENGE SCHOOL DISTRICT,Benge,1122,1122,1,122,Adams,2978 E BENGE WINONA RD, ,BENGE,Washington,99105-9705,Robert  Moore,(509)887-2370,bob.moore@benge.wednet.edu,450,450,5,21,19,https://www.benge.wednet.edu/,353164.6096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157567.4325,3284059007
16,16,17801,121,Puget Sound Educational Service District 121,BETHEL,BETHEL SCHOOL DISTRICT,Bethel,27403,27403,27,403,Pierce,516 176th St E, ,SPANAWAY,Washington,98387,Tom  Seigel,(253)683-6010,tseigel@bethelsd.org,480,480,2,22,20,http://www.bethelsd.org/,508061.5406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227098.1935,5669717128
17,17,39801,105,Educational Service District 105,BICKLETON,BICKLETON SCHOOL DISTRICT,Bickleton,20203,20203,20,203,Klickitat,PO BOX 10, ,BICKLETON,Washington,99322-0010,Tom  Whitmore,(509)896-5473,twhitmore@bickletonschools.org,510,510,4,23,21,http://www.bickletonschools.org,552293.0147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241940.0619,12803240827
18,18,29801,189,Northwest Educational Service District 189,BLAINE,BLAINE SCHOOL DISTRICT,Blaine,37503,37503,37,503,Whatcom,765 H Street, ,BLAINE,Washington,98230,Ron C. Spanjer,(360)332-5881,rspanjer@blainesd.org,570,570,3,24,22,https://www.blainesd.org/,431083.4283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199648.1395,7044751990
19,19,34801,113,Capital Region ESD 113,BOISTFORT,BOISTFORT SCHOOL DISTRICT,Boistfort,21234,21234,21,234,Lewis,983 BOISTFORT RD, ,CURTIS,Washington,98538-9734,SHANNON S CRISS,(360)245-3343,SCRISS@BOISTFORT.K12.WA.US,630,630,1,25,23,https://www.esd113.org/about-esd-113/overview/our-districts/,348540.503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154415.0045,4045064632
20,20,18801,114,Olympic Educational Service District 114,BREMERTON,BREMERTON SCHOOL DISTRICT,Bremerton,18100,18100,18,100,Kitsap,134 MARION AVE N, ,BREMERTON,Washington,98312-3542,Aaron  Leavell,(360)473-1004,Aaron.Leavell@Bremertonschools.org,660,660,2,26,24,http://www.bremertonschools.org/,137952.533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62302.15128,640545896.1
21,21,4801,171,North Central Educational Service District 171,BREWSTER,BREWSTER SCHOOL DISTRICT,Brewster,24111,24111,24,111,Okanogan,P.O. Box 97, ,BREWSTER,Washington,98812,Eric  Driessen,(509)689-3418,edriessen@brewsterbears.org,690,690,4,27,25,http://www.brewster.wednet.edu,423665.5051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193386.4676,5166832033
22,22,4801,171,North Central Educational Service District 171,BRIDGEPORT,BRIDGEPORT SCHOOL DISTRICT,Bridgeport,9075,9075,9,75,Douglas,PO BOX 1060, ,BRIDGEPORT,Washington,98813-1060,Scott  Sattler,(509)686-5656,ssattler@bridgeport.wednet.edu,720,720,4,28,26,http://www.bridgeport.wednet.edu,583698.2101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265476.6063,7589444580
23,23,18801,114,Olympic Educational Service District 114,BRINNON,BRINNON SCHOOL DISTRICT,Brinnon,16046,16046,16,46,Jefferson,46 SCHOOLHOUSE RD, ,BRINNON,Washington,98320-9651,Patricia  Beathard,(360)796-4646,pbeathard@bsd46.org,750,750,2,29,27,http://www.bsd46.org/,603054.432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272638.0412,10208572221
24,24,29801,189,Northwest Educational Service District 189,BURLINGTON-EDISON,BURLINGTON-EDISON SCHOOL DISTRICT,Burlington-Edison,29100,29100,29,100,Skagit,927 E FAIRHAVEN AVE, ,BURLINGTON,Washington,98233-1900,Laurel W Browning,(360)757-3311,lbrowning@be.wednet.edu,780,780,3,30,28,http://www.be.wednet.edu,294734.7557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135587.3632,4234054965
25,25,6801,112,Educational Service District 112,CAMAS,CAMAS SCHOOL DISTRICT,Camas,6117,6117,6,117,Clark,841 NE 22nd AVE, ,CAMAS,Washington,98607-1148,Jeff  Snell,(360)335-3000,jeff.snell@camas.wednet.edu,810,810,1,31,29,http://www.camas.wednet.edu/,250400.486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109143.9954,1564193403
26,26,18801,114,Olympic Educational Service District 114,CAPE FLATTERY,CAPE FLATTERY SCHOOL DISTRICT,Cape Flattery,5401,5401,5,401,Clallam,PO BOX 109, ,SEKIU,Washington,98381-9747,Michelle  Parkin,(360)963-2075,mparkin@cfsd.wednet.edu,840,840,2,32,30,https://www.cfsd401.org/,647546.0048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296120.7406,20350530526
27,27,17801,121,Puget Sound Educational Service District 121,CARBONADO,CARBONADO SCHOOL DISTRICT,Carbonado,27019,27019,27,19,Pierce,PO BOX 131, ,CARBONADO,Washington,98323-0131,Scott  Hubbard,(360)829-0121,shubbard@carbonado.k12.wa.us,870,870,2,33,31,http://www.carbonado.k12.wa.us,423518.681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189136.9326,4329112396
28,28,4801,171,North Central Educational Service District 171,CASCADE,CASCADE SCHOOL DISTRICT,Cascade,4228,4228,4,228,Chelan,330 EVANS ST, ,LEAVENWORTH,Washington,98826-1244,Bill  Motsenbocker,(509)548-5885,bmotsenbocker@cascadesd.org,950,950,4,34,32,https://www.cascadesd.org/,1048597.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475176.4923,32795616277
29,29,4801,171,North Central Educational Service District 171,CASHMERE,CASHMERE SCHOOL DISTRICT,Cashmere,4222,4222,4,222,Chelan,210 S DIVISION ST, ,CASHMERE,Washington,98815-1133,GLENN ERICK JOHNSON,(509)782-3355,GJOHNSON@CASHMERE.WEDNET.EDU,960,960,4,35,33,http://www.cashmere.wednet.edu,317856.8277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143450.7816,2742369417
30,30,6801,112,Educational Service District 112,CASTLE ROCK,CASTLE ROCK SCHOOL DISTRICT,Castle Rock,8401,8401,8,401,Cowlitz,600 HUNTINGTON AVE S, ,CASTLE ROCK,Washington,98611-8901,James A Mabbott,(360)501-2940,jmabbott@crschools.org,990,990,1,36,34,http://www.crschools.org/,476895.0058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210493.2628,4577356281
31,31,6801,112,Educational Service District 112,CENTERVILLE,CENTERVILLE SCHOOL DISTRICT,Centerville,20215,20215,20,215,Klickitat,ATTN:Ann Varkados,2315 Centerville Hwy,CENTERVILLE,Washington,98613-3021,Ann  Varkados,(509)773-4893,avarkados@centervilleschool.org,1050,1050,1,37,35,http://www.centervilleschool.org/,272514.4986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119036.8211,2925876030
32,32,18801,114,Olympic Educational Service District 114,CENTRAL KITSAP,CENTRAL KITSAP SCHOOL DISTRICT,Central Kitsap,18401,18401,18,401,Kitsap,PO BOX 8, ,SILVERDALE,Washington,98383-9197,David  McVicker,(360)662-1610,davidm@ckschools.org,1080,1080,2,38,36,http://www.ckschools.org/,390802.0608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176652.3638,4165082776
33,33,32801,101,Educational Service District 101,CENTRAL VALLEY,CENTRAL VALLEY SCHOOL DISTRICT,Central Valley,32356,32356,32,356,Spokane,19307 E Cataldo Ave, ,SPOKANE VALLEY,Washington,99016-9489,Ben  Small,(509)558-5404,bsmall@cvsd.org,1110,1110,5,39,37,http://www.cvsd.org/,230332.4155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104124.4383,2206188488
34,34,34801,113,Capital Region ESD 113,CENTRALIA,CENTRALIA SCHOOL DISTRICT,Centralia,21401,21401,21,401,Lewis,PO Box 610, ,CENTRALIA,Washington,98531,Mark  Davalos,(360)330-7600,mdavalos@centralia.wednet.edu,1140,1140,1,40,38,http://www.centralia.k12.wa.us,435998.727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193767.6312,4031316051
35,35,34801,113,Capital Region ESD 113,CHEHALIS,CHEHALIS SCHOOL DISTRICT,Chehalis,21302,21302,21,302,Lewis,310 SW 16TH ST, ,CHEHALIS,Washington,98532-3809,Ed  Rothlin,(360)807-7200,erothlin@chehalisschools.org,1170,1170,1,41,39,https://chehalisschools.org/,387684.8477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172134.4634,2658733744
36,36,4801,171,North Central Educational Service District 171,LAKE CHELAN,LAKE CHELAN SCHOOL DISTRICT,Lake Chelan,4129,4129,4,129,Chelan,PO BOX 369, ,CHELAN,Washington,98816-0369,Barry  DePaoli,(509)682-3515,depaolib@chelanschools.org,1200,1200,4,125,123,http://www.chelanschools.org,962132.1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437936.2196,11154932562
37,37,32801,101,Educational Service District 101,CHENEY,CHENEY SCHOOL DISTRICT,Cheney,32360,32360,32,360,Spokane,12414 S Andrus Rd, ,CHENEY,Washington,99004,Robert W Roettger,(509)559-4500,rroettger@cheneysd.org,1230,1230,5,42,40,http://www.cheneysd.org,737783.6845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332694.0386,10737905160
38,38,32801,101,Educational Service District 101,CHEWELAH,CHEWELAH SCHOOL DISTRICT,Chewelah,33036,33036,33,36,Stevens,PO BOX 47, ,CHEWELAH,Washington,99109-8970,Mara  Schneider,(509)685-6800 Ext.81004,mschneider@chewelahk12.us,1260,1260,5,43,41,http://www.chewelah.k12.wa.us/,649536.3368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297477.4166,8587451278
39,39,18801,114,Olympic Educational Service District 114,CHIMACUM,CHIMACUM SCHOOL DISTRICT,Chimacum,16049,16049,16,49,Jefferson,PO BOX 278, ,CHIMACUM,Washington,98325-0278,Rick  Thompson,(360)302-5896,rick_thompson@csd49.org,1290,1290,2,44,42,http://csd49.org/,363971.4698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165644.8081,4785029545
40,40,11801,123,Educational Service District 123,CLARKSTON,CLARKSTON SCHOOL DISTRICT,Clarkston,2250,2250,2,250,Asotin,PO BOX 70, ,CLARKSTON,Washington,99403-2557,Timothy D Winter,(509)758-2531,wintert@csdk12.org,1320,1320,5,45,43,http://www.csdk12.org/,370463.7707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163637.5987,4430238625
41,41,39801,105,Educational Service District 105,CLE ELUM-ROSLYN,CLE ELUM-ROSLYN SCHOOL DISTRICT,Cle Elum-Roslyn,19404,19404,19,404,Kittitas,2690 STATE ROUTE 903, ,CLE ELUM,Washington,98922-8704,Gary   Wargo,(509)649-4851,wargog@cersd.org,1350,1350,4,46,44,http://www.cersd.org/,949321.0097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426304.2396,16718383765
42,42,18801,114,Olympic Educational Service District 114,QUEETS-CLEARWATER,QUEETS-CLEARWATER SCHOOL DISTRICT,Queets-Clearwater,16020,16020,16,20,Jefferson,146000 HIGHWAY 101, ,FORKS,Washington,98331-9484,Richard W Rohlman,(360)962-2395,rrohlman@qcsd20.org,1380,1380,2,208,206,http://www.queetsclearwaterschool.org/,712765.1516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322384.1705,20034632711
43,43,17801,121,Puget Sound Educational Service District 121,CLOVER PARK,CLOVER PARK SCHOOL DISTRICT,Clover Park,27400,27400,27,400,Pierce,10903 GRAVELLY LAKE DR SW, ,LAKEWOOD,Washington,98499-1341,Doug  Kernutt,(253)583-5190,dkernutt@cloverpark.k12.wa.us,1410,1410,2,47,45,http://www.cloverpark.k12.wa.us/,284377.0516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127331.8,1820762917
44,44,32801,101,Educational Service District 101,COLFAX,COLFAX SCHOOL DISTRICT,Colfax,38300,38300,38,300,Whitman,1207 N MORTON ST, ,COLFAX,Washington,99111-2198,Jerry  Pugh,(509)397-3042,jerry.pugh@csd300.com,1440,1440,5,48,46,http://www.colfax.k12.wa.us/,691590.1808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308034.0774,8981374222
45,45,11801,123,Educational Service District 123,COLLEGE PLACE,COLLEGE PLACE SCHOOL DISTRICT,College Place,36250,36250,36,250,Walla Walla,1755 S College Ave, ,COLLEGE PLACE,Washington,99324-1175,Tim  Payne,(509)525-4827,tpayne@cpps.org,1470,1470,4,49,47,http://www.cpps.org,155184.6266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68093.79378,809759323.5
46,46,32801,101,Educational Service District 101,COLTON,COLTON SCHOOL DISTRICT,Colton,38306,38306,38,306,Whitman,706 UNION, ,COLTON,Washington,99113-0109,Paul  Clark,(509)229-3385,pclark@colton.k12.wa.us,1500,1500,5,50,48,https://www.colton.k12.wa.us/,378077.9643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167595.9098,4036972590
47,47,32801,101,Educational Service District 101,COLUMBIA (STEVENS),COLUMBIA (STEVENS) SCHOOL DISTRICT,Columbia,33206,33206,33,206,Stevens,PO BOX 7, ,HUNTERS,Washington,99137-0007,William  Wadlington,(509)722-3311,wwadlington@columbia206.com,1560,1560,5,51,49,http://www.columbia206.k12.wa.us,480328.8574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218986.8231,7073289089
48,48,11801,123,Educational Service District 123,COLUMBIA (WALLA WALLA),COLUMBIA (WALLA WALLA) SCHOOL DISTRICT,Columbia,36400,36400,36,400,Walla Walla,755 MAPLE ST, ,BURBANK,Washington,99323-0548,Todd  Hilberg,(509)547-2136,todd.hilberg@csd400.org,1590,1590,4,52,50,http://www.csd400.org/,343069.2379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150966.0794,3789158420
49,49,32801,101,Educational Service District 101,COLVILLE,COLVILLE SCHOOL DISTRICT,Colville,33115,33115,33,115,Stevens,217 S HOFSTETTER ST, ,COLVILLE,Washington,99114-3239,Pete  Lewis,(509)684-7850,pete.lewis@colsd.org,1630,1630,5,53,51,http://www.colsd.org,834424.1831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384175.9202,14824422687
50,50,29801,189,Northwest Educational Service District 189,CONCRETE,CONCRETE SCHOOL DISTRICT,Concrete,29011,29011,29,11,Skagit,45389 AIRPORT WAY, ,CONCRETE,Washington,98237-9355,Wayne Paul Barrett,(360)853-4000,wbarrett@concrete.k12.wa.us,1660,1660,3,54,52,http://www.concrete.k12.wa.us/,1606430.636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740112.4343,53476395973
51,51,29801,189,Northwest Educational Service District 189,CONWAY,CONWAY SCHOOL DISTRICT,Conway,29317,29317,29,317,Skagit,19710 STATE ROUTE 534, ,MOUNT VERNON,Washington,98274-8026,Jeff  Cravy,(360)445-5785,jcravy@conway.k12.wa.us,1680,1680,3,55,53,http://www.conway.k12.wa.us,220385.8463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100899.4488,2006738883
52,52,34801,113,Capital Region ESD 113,COSMOPOLIS,COSMOPOLIS SCHOOL DISTRICT,Cosmopolis,14099,14099,14,99,Grays Harbor,PO BOX 479, ,COSMOPOLIS,Washington,98537,Cherie  Patterson,(360)532-7181,cpatterson@cosmopolisschool.com,1710,1710,1,56,54,http://www.cosmopolisschool.com/,303858.8935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135480.5739,1832191849
53,53,29801,189,Northwest Educational Service District 189,COUPEVILLE,COUPEVILLE SCHOOL DISTRICT,Coupeville,15204,15204,15,204,Island,501 S Main St, ,COUPEVILLE,Washington,98239,Steve  King,(360)678-2404,sking@coupeville.k12.wa.us,1800,1800,3,58,56,http://www.coupeville.k12.wa.us/,305683.8924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139598.71,3169107166
54,54,18801,114,Olympic Educational Service District 114,CRESCENT,CRESCENT SCHOOL DISTRICT,Crescent,5313,5313,5,313,Clallam,PO BOX 20, ,JOYCE,Washington,98343-0020,David  Bingham,(360)928-3311,daveb@crescent.wednet.edu,1830,1830,2,59,57,http://www.crescentschooldistrict.org/,555880.5066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253576.8403,11351052251
55,55,32801,101,Educational Service District 101,CRESTON,CRESTON SCHOOL DISTRICT,Creston,22073,22073,22,73,Lincoln,485 SE E ST, ,CRESTON,Washington,99117-0017,Charles  Wyborney,(509)636-2721,cwyborney@creston.wednet.edu,1860,1860,5,60,58,http://www.creston.wednet.edu,481489.6265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218168.8566,7186408072
56,56,32801,101,Educational Service District 101,CURLEW,CURLEW SCHOOL DISTRICT,Curlew,10050,10050,10,50,Ferry,PO BOX 370, ,CURLEW,Washington,99118-9748,John  Glenewinkel,(509)779-4931,jgwinkel@curlew.wednet.edu,1890,1890,5,61,59,http://www.curlew.wednet.edu,456554.8719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211313.5502,10119478962
57,57,32801,101,Educational Service District 101,CUSICK,CUSICK SCHOOL DISTRICT,Cusick,26059,26059,26,59,Pend Oreille,305 MONUMENTAL WAY, ,CUSICK,Washington,99119-9761,Don  Hawpe,(509)445-1125,dhawpe@cusick.wednet.edu,1920,1920,5,62,60,http://www.cusick.wednet.edu,599908.3765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275414.3047,12833111549
58,58,39801,105,Educational Service District 105,DAMMAN,DAMMAN SCHOOL DISTRICT,Damman,19007,19007,19,7,Kittitas,3600 UMPTANUM RD, ,ELLENSBURG,Washington,98926-8747,Marsha  Smith,(509)962-9079,hats2many@aol.com,1950,1950,4,63,61,https://www.esd105.org/domain/34,174924.4661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78050.73539,1134905501
59,59,29801,189,Northwest Educational Service District 189,DARRINGTON,DARRINGTON SCHOOL DISTRICT,Darrington,31330,31330,31,330,Snohomish,PO BOX 27, ,DARRINGTON,Washington,98241-0027,BUCK   MARSH,(360)436-1323,bmarsh@dsd.k12.wa.us,1980,1980,3,64,62,http://www.dsd.k12.wa.us/,712721.6466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325690.2716,16246978800
60,60,32801,101,Educational Service District 101,DAVENPORT,DAVENPORT SCHOOL DISTRICT,Davenport,22207,22207,22,207,Lincoln,801 7th Street, ,DAVENPORT,Washington,99122-9548,James  Kowalkowski,(509)725-1481,jkowalkowski@davenportsd.org,2010,2010,5,65,63,http://www.davenport.wednet.edu,696699.1004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315621.4152,9337483435
61,61,11801,123,Educational Service District 123,DAYTON,DAYTON SCHOOL DISTRICT,Dayton,7002,7002,7,2,Columbia,609 S 2ND ST, ,DAYTON,Washington,99328-1572,Doug  Johnson,(509)382-2543,dougj@daytonsd.org,2040,2040,4,66,64,http://www.daytonsd.org/,787696.9739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347597.2327,19101886219
62,62,32801,101,Educational Service District 101,DEER PARK,DEER PARK SCHOOL DISTRICT,Deer Park,32414,32414,32,414,Spokane,P.O. BOX 490, ,DEER PARK,Washington,99006-0490,Travis  Hanson,(509)464-5500,travis.hanson@dpsdmail.org,2070,2070,5,67,65,http://www.dpsd.org,444392.583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202271.0813,4644536718
