District Name,Question,Response,Week_End
Garfield School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Glenwood School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Goldendale School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Grand Coulee Dam School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Grandview School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Granger School District,Are you directly providing or funding child care for your community? ,Not yet,28-Mar
Granite Falls School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Grapeview School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Great Northern School District,Are you directly providing or funding child care for your community? ,No Not yet,28-Mar
Green Dot Public Schools Rainier V..,Are you directly providing or funding child care for your community? ,No,28-Mar
GreenMountain School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Griffin School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Highland School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Highline School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Hoquiam School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Impact Public Schools,Are you directly providing or funding child care for your community? ,No,28-Mar
Inchelium School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Index School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Innovation Schools,Are you directly providing or funding child care for your community? ,No,28-Mar
Keller School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Kelso School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Kennewick School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Kent School District,Are you directly providing or funding child care for your community? ,Not yet,28-Mar
Kiona-Benton City School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Kittitas School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Klickitat School District,Are you directly providing or funding child care for your community? ,No,28-Mar
La Center School District,Are you directly providing or funding child care for your community? ,No,28-Mar
La Conner School District,Are you directly providing or funding child care for your community? ,Not yet,28-Mar
LaCrosse School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Lake Chelan School District,Are you directly providing or funding child care for your community? ,Not yet,28-Mar
Lake Quinault School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Lake Stevens School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
LakeWashington School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Lakewood School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Liberty School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Lind School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Loon Lake School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Lopez School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Lyle School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Lynden School District,Are you directly providing or funding child care for your community? ,Not yet,28-Mar
Mabton School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Manson School District,Are you directly providing or funding child care for your community? ,No,28-Mar
MaryM Knight School District,Are you directly providing or funding child care for your community? ,No,28-Mar
MaryWalker School District,Are you directly providing or funding child care for your community? ,Not yet,28-Mar
Marysville School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
McCleary School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Medical Lake School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Mercer Island School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Meridian School District,Are you directly providing or funding child care for your community? ,Not yet,28-Mar
Methow Valley School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Mill A School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Montesano School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Morton School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Moses Lake School District,Are you directly providing or funding child care for your community? ,Not yet,28-Mar
Mossyrock School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Mount Adams School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Mount Baker School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Mount Pleasant School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Mount Vernon School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Muckleshoot Indian Tribe,Are you directly providing or funding child care for your community? ,Not yet,28-Mar
Mukilteo School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Naches Valley School District,Are you directly providing or funding child care for your community? ,Not yet,28-Mar
Napavine School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Naselle-Grays River Valley School ..,Are you directly providing or funding child care for your community? ,No,28-Mar
Newport School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
NineMile Falls School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Nooksack Valley School District,Are you directly providing or funding child care for your community? ,Not yet,28-Mar
North Beach School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
North Franklin School District,Are you directly providing or funding child care for your community? ,No,28-Mar
North Kitsap School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
NorthMason School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
North Thurston Public Schools,Are you directly providing or funding child care for your community? ,No,28-Mar
Oakesdale School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Oakville School District,Are you directly providing or funding child care for your community? ,Not yet,28-Mar
Ocean Beach School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Ocosta School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Odessa School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Okanogan School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Olympia School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Omak School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Onalaska School District,Are you directly providing or funding child care for your community? ,Not yet,28-Mar
Onion Creek School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Orcas Island School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Orient School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Orondo School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Orting School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Palisades School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Palouse School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Pasco School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Pateros School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Paterson School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Pe Ell School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Peninsula School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Pomeroy School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Port Angeles School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Port Townsend School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Prescott School District,Are you directly providing or funding child care for your community? ,No,28-Mar
PRIDE Prep Charter School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Prosser School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Pullman School District,Are you directly providing or funding child care for your community? ,Not yet,28-Mar
Puyallup School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Queets-Clearwater School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Quilcene School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Quillayute Valley School District,Are you directly providing or funding child care for your community? ,Not yet,28-Mar
Quincy School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Rainier Prep Charter School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Rainier School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Raymond School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Reardan-Edwall School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Renton School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Republic School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Richland School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Ridgefield School District,Are you directly providing or funding child care for your community? ,Not yet,28-Mar
Ritzville School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Riverside School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Riverview School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Royal School District,Are you directly providing or funding child care for your community? ,Not yet,28-Mar
San Juan Island School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Seattle Public Schools,Are you directly providing or funding child care for your community? ,Not yet,28-Mar
Sedro-Woolley School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Selah School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Selkirk School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Sequim School District,Are you directly providing or funding child care for your community? ,Not yet,28-Mar
Shaw Island School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Shelton School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Shoreline School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Skamania School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Skykomish School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Snohomish School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Snoqualmie Valley School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Soap Lake School District,Are you directly providing or funding child care for your community? ,No,28-Mar
South Bend School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
South Kitsap School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
SouthWhidbey School District,Are you directly providing or funding child care for your community? ,Not yet,28-Mar
Southside School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Spokane International Academy,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Spokane School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Sprague School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Stanwood-Camano School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Steilacoom Hist. School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Sultan School District,Are you directly providing or funding child care for your community? ,Not yet,28-Mar
Summit Public School: Olympus,Are you directly providing or funding child care for your community? ,No,28-Mar
Summit Valley School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Sumner School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Sunnyside School District,Are you directly providing or funding child care for your community? ,Not yet,28-Mar
Suquamish Tribal Education Depar..,Are you directly providing or funding child care for your community? ,No,28-Mar
Tacoma School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Taholah School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Tahoma School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Tekoa School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Tenino School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Toledo School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Tonasket School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Toppenish School District,Are you directly providing or funding child care for your community? ,Not yet,28-Mar
Toutle Lake School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Trout Lake School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Tukwila School District,Are you directly providing or funding child care for your community? ,Not yet,28-Mar
Tumwater School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Union Gap School District,Are you directly providing or funding child care for your community? ,Not yet,28-Mar
University Place School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Valley School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Vancouver School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
WAHE LUT Indian School Agency,Are you directly providing or funding child care for your community? ,No,28-Mar
Wahluke School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Waitsburg School District,Are you directly providing or funding child care for your community? ,No,28-Mar
WallaWalla Public Schools,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Warden School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Washougal School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Washtucna School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Waterville School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Wellpinit School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Wenatchee School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
West Valley School District (Spoka..,Are you directly providing or funding child care for your community? ,Yes,28-Mar
West Valley School District (Yakim..,Are you directly providing or funding child care for your community? ,No,28-Mar
White Pass School District,Are you directly providing or funding child care for your community? ,Not yet,28-Mar
White River School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
White Salmon Valley School District,Are you directly providing or funding child care for your community? ,Not yet,28-Mar
Wilbur School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Willapa Valley School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Wilson Creek School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Wishkah Valley School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Wishram School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Woodland School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Yakima School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Yelm School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Zillah School District,Are you directly providing or funding child care for your community? ,Not yet,28-Mar
Aberdeen School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Adna School District,Are you directly providing or funding child care for your community? ,No,4-Apr
Almira School District,Are you directly providing or funding child care for your community? ,No,4-Apr
Anacortes School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Arlington School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Asotin-Anatone School District,Are you directly providing or funding child care for your community? ,No,4-Apr
Auburn School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Bainbridge Island School District,Are you directly providing or funding child care for your community? ,No,4-Apr
Battle Ground School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Bellevue School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Bellingham School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Benge School District,Are you directly providing or funding child care for your community? ,No,4-Apr
Bethel School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Bickleton School District,Are you directly providing or funding child care for your community? ,No,4-Apr
Blaine School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Boistfort School District,Are you directly providing or funding child care for your community? ,No,4-Apr
Bremerton School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Brewster School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Bridgeport School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Brinnon School District,Are you directly providing or funding child care for your community? ,No,4-Apr
Camas School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Cape Flattery School District,Are you directly providing or funding child care for your community? ,No,4-Apr
Carbonado School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Cascade School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
CASHMERE SCHOOL DISTRICT,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Centerville School District,Are you directly providing or funding child care for your community? ,No,4-Apr
Central Kitsap School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Central Valley School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Chehalis School District,Are you directly providing or funding child care for your community? ,No,4-Apr
Cheney School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Chewelah School District,Are you directly providing or funding child care for your community? ,Not yet,4-Apr
Chimacum School District,Are you directly providing or funding child care for your community? ,Not yet,4-Apr
Clover Park School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Colfax School District,Are you directly providing or funding child care for your community? ,Not yet,4-Apr
College Place School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Colton School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Columbia (Stevens) School District,Are you directly providing or funding child care for your community? ,No,4-Apr
Columbia (WallaWalla) School Dis..,Are you directly providing or funding child care for your community? ,No,4-Apr
Colville School District,Are you directly providing or funding child care for your community? ,No,4-Apr
Concrete School District,Are you directly providing or funding child care for your community? ,Not yet,4-Apr
Conway School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Cosmopolis School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Coupeville School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Crescent School District,Are you directly providing or funding child care for your community? ,No,4-Apr
Creston School District,Are you directly providing or funding child care for your community? ,No,4-Apr
Curlew School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Cusick School District,Are you directly providing or funding child care for your community? ,No,4-Apr
Damman School District,Are you directly providing or funding child care for your community? ,No,4-Apr
Darrington School District,Are you directly providing or funding child care for your community? ,No,4-Apr
Davenport School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Dayton School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Dieringer School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
East Valley School District (Spoka..,Are you directly providing or funding child care for your community? ,Yes,4-Apr
East Valley School District (Yakima),Are you directly providing or funding child care for your community? ,Not yet,4-Apr
Eastmont School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Edmonds School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Ellensburg School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Elma School District,Are you directly providing or funding child care for your community? ,Not yet,4-Apr
Endicott School District,Are you directly providing or funding child care for your community? ,No,4-Apr
Entiat School District,Are you directly providing or funding child care for your community? ,No,4-Apr
Enumclaw School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Ephrata School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Evaline School District,Are you directly providing or funding child care for your community? ,No,4-Apr
Everett School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Evergreen School District (Clark),Are you directly providing or funding child care for your community? ,Yes,4-Apr
Evergreen School District (Stevens),Are you directly providing or funding child care for your community? ,No,4-Apr
Federal Way School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Fife School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Finley School District,Are you directly providing or funding child care for your community? ,No,4-Apr
Franklin Pierce School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Freeman School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Garfield School District,Are you directly providing or funding child care for your community? ,No,4-Apr
Glenwood School District,Are you directly providing or funding child care for your community? ,No,4-Apr
Goldendale School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Grand Coulee Dam School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Granger School District,Are you directly providing or funding child care for your community? ,Not yet,4-Apr
Granite Falls School District,Are you directly providing or funding child care for your community? ,No,4-Apr
Grapeview School District,Are you directly providing or funding child care for your community? ,No,4-Apr
Great Northern School District,Are you directly providing or funding child care for your community? ,No Not yet,4-Apr
Green Dot Public Schools Rainier V..,Are you directly providing or funding child care for your community? ,No,4-Apr
GreenMountain School District,Are you directly providing or funding child care for your community? ,No,4-Apr
Griffin School District,Are you directly providing or funding child care for your community? ,No,4-Apr
Highland School District,Are you directly providing or funding child care for your community? ,No,4-Apr
Highline School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Hood Canal School District,Are you directly providing or funding child care for your community? ,No,4-Apr
Hoquiam School District,Are you directly providing or funding child care for your community? ,No,4-Apr
Impact Public Schools,Are you directly providing or funding child care for your community? ,No,4-Apr
Inchelium School District,Are you directly providing or funding child care for your community? ,No,4-Apr
Index School District,Are you directly providing or funding child care for your community? ,No,4-Apr
Innovation Schools,Are you directly providing or funding child care for your community? ,No,4-Apr
Issaquah School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Kahlotus School District,Are you directly providing or funding child care for your community? ,No,4-Apr
Kalama School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Keller School District,Are you directly providing or funding child care for your community? ,No,4-Apr
Kelso School District,Are you directly providing or funding child care for your community? ,No,4-Apr
Kennewick School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Kent School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Kettle Falls School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Kittitas School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Klickitat School District,Are you directly providing or funding child care for your community? ,No,4-Apr
La Center School District,Are you directly providing or funding child care for your community? ,No,4-Apr
La Conner School District,Are you directly providing or funding child care for your community? ,Not yet,4-Apr
LaCrosse School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Lake Chelan School District,Are you directly providing or funding child care for your community? ,Not yet,4-Apr
Lake Quinault School District,Are you directly providing or funding child care for your community? ,No,4-Apr
Lake Stevens School District,Are you directly providing or funding child care for your community? ,No,4-Apr
LakeWashington Institute of Tech..,Are you directly providing or funding child care for your community? ,No,4-Apr
LakeWashington School District,Are you directly providing or funding child care for your community? ,No,4-Apr
Lakewood School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Lamont School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Liberty School District,Are you directly providing or funding child care for your community? ,No,4-Apr
Lind School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Loon Lake School District,Are you directly providing or funding child care for your community? ,No,4-Apr
Lyle School District,Are you directly providing or funding child care for your community? ,No,4-Apr
Lynden School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Mabton School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Manson School District,Are you directly providing or funding child care for your community? ,No,4-Apr
MaryM Knight School District,Are you directly providing or funding child care for your community? ,Not yet,4-Apr
MaryWalker School District,Are you directly providing or funding child care for your community? ,No,4-Apr
Marysville School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
McCleary School District,Are you directly providing or funding child care for your community? ,No,4-Apr
Mead School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Medical Lake School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Mercer Island School District,Are you directly providing or funding child care for your community? ,No,4-Apr
Meridian School District,Are you directly providing or funding child care for your community? ,No,4-Apr
Methow Valley School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Mill A School District,Are you directly providing or funding child care for your community? ,No,4-Apr
Monroe School District,Are you directly providing or funding child care for your community? ,No,4-Apr
Montesano School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Morton School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Moses Lake School District,Are you directly providing or funding child care for your community? ,Not yet,4-Apr
Mossyrock School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Mount Adams School District,Are you directly providing or funding child care for your community? ,No,4-Apr
Mount Baker School District,Are you directly providing or funding child care for your community? ,No,4-Apr
Mount Pleasant School District,Are you directly providing or funding child care for your community? ,No,4-Apr
Mount Vernon School District,Are you directly providing or funding child care for your community? ,Yes,4-Apr
Muckleshoot Indian Tribe,Are you directly providing or funding child care for your community? ,Not yet,4-Apr
Mukilteo School District,Are you directly providing or funding child care for your community? ,No,4-Apr
