demsharenext	difdemshare
.82728189	-.55600584
.22438374	.65456378
.52740651	1
.71718711	.054813027
.5464462	.097341686
.61221558	.1927211
1	.22443116
1	1
1	1
.73646116	1
1	.47292235
.7236079	1
.72835618	.49984655
.67199802	.45671237
.65939659	.37394643
.80254537	.31879321
1	.60509074
.71745491	.22214445
1	.49787617
.71525955	.47891927
.70942438	1
1	.41884872
1	1
.71035838	1
.47827607	.42071673
.37658352	.20125955
1	.11094511
.75245905	1
.72308236	.5049181
1	.3482604
1	1
1	1
.53146005	-.10440639
.56962669	.076151103
.56940454	.18348038
.59431541	.14263508
.63788074	.18863082
.64526403	.27576146
1	.43506423
.60950172	1
.54330248	.21900344
.52074534	.16119823
1	.041490704
.51898038	1
.88854432	.48399305
.70313185	.77708864
.65534627	.40626371
.71661502	1
1	.43323004
.23875193	-1
.26718125	-1
.33981732	-.46563753
.45486131	-.3203654
.25189948	-.30019632
.39590436	-.49620104
.36701897	-.20819128
.67311543	.21279109
.52211076	.34623086
.65969467	.24016654
1	.067117214
.84117419	1
.52181077	.68234837
1	.39705849
.70731586	1
.26286206	-1
0	-.42359757
0	-1
.34071296	-1
.34294489	-.29212916
.33921498	-.31411025
.61693776	-.32157004
.54805553	1
.53761697	.13483405
.50822842	.075233936
1	.4394049
.69710666	1
.65058553	.39421335
.48226699	-.031208068
.54565781	.0013053715
.78473485	.58413851
.64471042	-1
.75582731	.28942087
1	.51165462
.74494153	.53895092
.62515754	.48988304
.72221041	.25031504
.76914245	.59563494
.84841406	.59331179
1	.69682813
1	.42829323
1	1
1	1
.69854414	.28896526
.70653862	.39708829
.46112648	-.020705074
.54784775	.063874125
.66355234	.095695466
.65752834	.32710469
1	1
1	1
1	1
.74448478	.80999953
.74613458	.55750102
.78389555	.53750026
.72217929	.83820045
.80434918	.44435859
.72282612	.60869837
.84347212	1
.81835657	.68694425
.41309372	-.13336757
.3890937	-.131641
.45311457	-.22181261
.44293267	-.093770862
1	.65698659
.82943177	1
.59148347	.65886354
.69560415	.78626072
.91829455	.46431631
1	.85988069
.83785921	1
1	.67571843
.7028116	1
.72245973	.3954955
1	.4449195
.41506332	-.3907111
.47036189	-.013234586
.4781996	-.059276223
.41779494	-.043600798
.48900846	-.25960025
.32631147	-.021983057
.42960331	-.34737706
0	-.28305542
.38855213	-1
.39383599	-.22289574
.6511386	.11415967
.66672605	.38629252
.53408235	.33345208
.54456973	.37520301
.70063257	.12611037
.82282352	1
.75311047	.56464434
.80394489	.50622094
1	.60788977
.74781942	1
1	.49563885
1	1
.68989003	1
.91733021	.37978005
1	.83466041
1	1
.80817646	1
1	.61635292
.84040201	1
.82484728	1
1	.64969456
1	1
.44995946	-.19252047
0	-.10008109
.49618244	-1
1	.49573734
1	1
.73217255	1
.37328646	-.13124439
.4437671	-.15990767
.53505975	-.11246577
.58534425	.0701195
.35258126	-.227456
.3761583	-.24017
.38958505	-.24768341
.3968873	-.22082987
.424806	-.11590278
.42598242	-.0043480098
.41042197	-.14803517
.43454295	-.17406899
.43768653	.026993662
.36630052	-.1246269
.32584164	-.26739895
.68044311	.042661458
.61660802	.37693062
.60793769	.25116318
.43645939	-.17829028
.39686164	-.12708125
.44755849	-.20627668
.46636805	-.36893019
.33148968	-.034239858
.35540611	-.15651
.34028009	-.20840982
.41268715	-.3194398
.39694673	-.17105469
.3312152	-.0023828447
.28857255	-.33625835
.303716	-.4228549
.39466596	-.28461561
.31871372	-.21066809
.35861063	-.36257255
.25778219	-.54449111
.42526543	-.48443565
.52688771	-.14257395
.43502426	-.054947317
.44773242	-.070430815
.63151217	.24035916
.55770671	.18255663
.62852407	.11541343
.66231012	.25704813
.56593615	.32508186
.60373414	.13569552
.60946375	.21913677
.62391847	.45844415
.61242235	.25985819
.67612541	.22484469
.57711536	.37089196
.44367167	.15423074
.44839785	-.11265668
.69420552	.082959086
.66827518	.41374949
.60780013	.19311622
.52209198	.21017715
.63299143	.044183999
.7037462	.26699561
.64662266	.62699842
.61242384	.29324535
.66128743	.22484767
.76495206	.56450367
.52610129	.53991342
.44691315	.052202582
.28186181	-.3548429
.2787675	-.43627641
.59213912	-.44246498
.64468473	.35970727
.72040868	.32752633
0	-.38804418
.18893246	-.89235735
.39732683	-.22343047
.25566864	-.21592543
.32871297	-.22752091
.5146535	-.34257409
.42833823	.029307008
.34362015	-.12884459
0	-.31275967
.29117715	-1
.32601538	-.12933752
.19288994	-.34796926
0	-.56020129
0	-.38804418
.18893246	-.89235735
.39732683	-.22343047
.093690164	-.49966609
0	-.4594003
.66156375	.17044288
.67516643	.32710242
.65531582	.35033283
.43345645	-.015782535
.48043501	.09821403
.50228262	-.039129972
.504857	.0045652092
.44227526	.13139495
.41327059	-.11544946
.44555962	-.17345881
.47686908	-.58521283
.41165608	-.038389355
.37505251	-.17025244
.66156375	.17044288
.67516643	.32710242
.65531582	.35033283
.27454832	-.441787
.31821278	-.42093685
.4325456	-.07246986
.41494462	-.088363409
.49306104	-.16813144
.42238131	-.0095137656
.46246153	-.12509546
.40945715	-.051001787
.38439375	-.17075378
.7010026	.19007176
.79401284	.41181031
.76713473	.59304744
.75642985	.44081315
.6989215	.52039188
.54287422	.40339547
.7612108	.44534278
.73194045	.55105484
.45656219	-.24183881
.32027292	-.27155155
.4607659	-.35822618
.43208084	-.07348305
.46862432	.015714556
.44438589	-.046652108
.48320597	-.1081692
.6172083	.16029131
.66425943	.23441663
.57459164	.32851884
.68258142	.26471877
.65728903	.39620522
.88171101	.32616937
.38007775	-.29243875
.30783528	-.22309461
.36994961	-.1854232
.34679103	-.15119207
.43928191	-.30641794
.46897706	-.12143615
.52685344	.0082910061
.57763052	.060459107
.55162752	.15838856
.62110299	.39015374
.55955827	.25022104
.49931401	.1249975
.58700895	.075245649
.51641148	.17401791
.49092185	.042120844
.33264297	-.35168758
.35136321	-.30949777
.52160239	.23010334
.54534835	.16724586
.6299234	.090696722
.60220051	.25984681
.56164962	.35230145
.46440449	.12657613
.58353966	-.069097131
.66297376	.33659101
.61084652	.34232274
.40639985	.24189025
.3827517	-.22617221
.33449623	-.22836977
.34362799	-.32294217
.33707207	-.37264088
.34952566	-.29915172
.38365752	-.16100636
.3535648	-.18526161
.44024384	-.29104751
.41254982	-.11652952
.2708177	-.2714642
.29942632	-.43681723
.31818128	-.38254929
.31342125	-.098966986
.27446038	-.35518134
.20501344	-.45107925
.25431573	-.42340207
.2363928	-.49136853
.22426638	-.52054876
.24753374	-.52353519
.33261999	-.46540165
.37777129	-.1448746
.48497742	.14126194
.46852851	-.020912766
.41399097	-.042369902
.30651674	-.1948055
.33946714	-.36267814
.44076398	-.31750157
.39688012	-.070046276
.38380662	-.19069639
.41310346	-.21980783
.68999374	.13046965
.61101842	.40067914
.50531125	.23042452
.6125232	.22829545
.57003766	.25178641
.30331844	-.12931719
.29335609	-.2640276
.40027514	-.41328785
.36016122	-.19605675
.33585864	-.13385299
.36693117	-.32828271
.41420779	-.25485989
.56545156	.052462578
.52547646	.13090312
.46531492	.059114248
.20958567	-.4876658
.2539129	-.58082867
.23164603	-.49217424
.41830236	-.20851094
.44430634	-.13559729
.35978535	-.0011882782
.38733339	-.096459121
.41189265	-.22075182
.5203442	-.16910356
.59606439	.35264498
.61368543	.21369711
.6098792	.23163879
.70586139	.49313051
.74456275	.41548422
.67153537	.48912552
.62787765	.25776818
1	.25575534
.76899076	1
.51199174	-.012966186
.62079209	.032378495
.32820228	-.24490628
.31892064	-.20465481
.41955176	-.35916606
.41602328	-.15433952
.50877625	.010892391
.49837872	.017552495
.56604904	.011908114
.44341815	.31570593
.37886184	-.087628007
.38330516	-.11048582
.69023561	.25277486
.67147058	.38047126
.57032561	.34823209
.55774903	.26476657
.64562875	.13578439
.61014688	.049867779
.56118578	.26745224
.63895959	.12237155
.65260088	.29090291
.64275789	.48975772
.63801038	.3154757
.69979203	.29441455
.8264575	.65851867
.86354017	.66603607
.85331392	.73706824
.95935696	.67339575
.77353323	.91871393
.81475961	.64703631
.84155965	.53978938
.83501536	.69535285
.51577139	.015627831
.51684076	.15012044
.5934121	.049134135
.61385983	.1868242
.58287507	.39270183
.65473074	.17498177
.68455613	.32251373
.67620856	.39828569
.70537013	.36491656
.62991029	.42063048
.31980565	-.11524403
.29519156	-.36038873
.32595676	-.40961686
.30860093	-.43243682
.29643354	-.35409042
.44665194	-.036396742
.3868573	-.06133762
.45304501	-.20990673
.4773061	-.07370466
.23936205	.064095676
.28433868	-.49982262
.33801302	-.43132266
.2626467	.32611331
.26628143	-.46872631
.20898038	-.46743715
.36514318	-.30669394
.29889327	-.26971364
.31070524	-.39376801
.46650892	-.37965053
.50120795	-.037950218
.51928145	.36106905
.44966382	.33835423
.66131932	.00046736002
.68304479	.41234225
.71830696	.55654711
.55537301	.43661392
.7110967	.20699838
.50366181	.14564371
.48158059	.025070459
.26362756	-.0368388
.34641048	-.22293672
.3051931	-.307179
.39471447	-.38961378
.78826129	.45688042
.80056477	.61466616
.59229183	.2557638
.45607615	.27478063
.62849861	-.066968381
.57345629	.29893053
.6796096	.49205193
.58463365	.39435342
.69731015	.24379909
.49856916	.6378361
.63611162	.046706349
.64181495	.4333871
.70668727	.3244662
.67340714	.4397113
.66071898	.36718467
.56955129	.26291454
.54565698	.15464103
.61055779	.097995132
.59037125	.43506411
.4827503	.28738964
.53421426	.024472326
.49180591	-.34383014
.34165004	-.26419839
.42535669	-.31669995
.50368041	-.14928663
.58941555	.29845914
.35921508	.25242499
.52219218	-.18006557
.65324771	.36367315
.41934034	.35599223
.41875237	-.14316121
.5123902	-.061900973
.50792736	.089490265
.56301981	.015854716
.45278627	-.060061544
.35869494	-.094427466
.31213903	-.38710746
.32535532	-.27858117
.39461955	-.34928939
.39009795	-.21076092
.34143177	-.032913208
.69016129	-.20520636
.33858487	.4052678
.57060575	.041397721
.54861212	.14687747
.56346005	.097224236
.64273083	.093875945
.61646563	.31909466
.55756849	.23293129
.33193007	-.40200716
.29546553	-.31033137
.33640417	-.21224594
.38068798	-.16672811
.45584008	-.23862401
.45888814	-.088319808
.50256622	.01376152
.4022958	.0051324368
.54406315	-.11826679
.51954103	.056905687
.50858873	.05203405
.47472632	.029335827
.56444567	.030888557
.57214695	.15873167
.53293002	.16590726
.42137876	-.19257504
.34887025	-.13159284
.54178482	.030121297
.44189143	-.13908711
.47435197	-.11621714
.44920668	-.051296026
.32045016	-.099382073
.70125353	-.27617016
.35059881	.42887577
.44188517	-.099407047
.32454535	-.11622965
.3107526	-.33637354
.28897026	-.4079687
.27615073	-.35910967
.31858462	-.42509261
.57489049	-.12876436
.52601945	.16975242
.48380965	.066984028
.41441357	-.078284472
.43701631	-.17117286
.54178095	-.0841555
.49884018	.11585638
.49293017	.012645245
.46077302	-.014139652
.44325393	-.084723115
.41627288	-.11349213
.42347342	-.16745424
.2894952	-.27371499
.33249241	-.36324468
.40889373	-.31812286
.63664079	.11727479
.64995795	.28654346
.56802237	.14802065
.56852406	.089783072
.63561672	.13704816
.65616715	.27123344
.29431003	-.14106366
.57514691	-.29614222
0	.27445018
.61788321	.33412841
.600263	.28500056
.47189814	.27112463
.67739576	.65494907
.85873169	.35479152
.73062778	.71746337
.84854764	.60889399
1	.69709527
.56982678	.19953978
.50032699	.17928457
.61138088	.00065401196
.60683101	.22276178
.64897007	.41468278
.39121392	.40917274
.90750855	-.21757218
.94653928	1
.94889677	.89960569
.95336175	.89779353
.77365184	.38501462
1	.54730368
1	1
.7107265	.74278831
.69021416	.42145303
.61940879	.3910228
.6564548	.55339777
.71652961	.3129096
.72897947	.43305922
.69627857	.52631897
.69801199	.47543913
.62832725	.48142901
.77828389	.57996142
.78645408	.55928797
.75629324	.6271612
.90190846	.25540152
1	.80381691
.72263652	1
.82283354	.66236597
.86002541	.66051567
.90977937	.31079707
.62796324	.43777522
.72069299	.25592646
.72303134	.44138598
.53517425	.3658953
.49663603	.13507837
.91886181	.069867373
.95101351	.86033988
.54174095	.90202701
.58335769	.097502828
.69384348	.055493951
1	.447146
.64374864	1
.747886	.45229316
.66434819	.53500032
.67075729	.30043843
.73215866	.55341417
.7610516	.46431735
.7658866	.52210319
.8206805	.75065136
.70529789	.641361
.72970855	.4105958
.91600698	.71235591
.95025653	.86540419
.94454902	.90051305
.93309695	.46163559
.78436202	.86619389
.80422866	.60622913
.91271174	.79795402
.9229511	.83358306
.62912059	.2465905
.77742243	.67076623
.81375492	.55484486
.81626117	.62750983
.70634866	.60210639
.69667333	.48755383
.78567654	.51229423
.74062103	.58008587
.78450328	.57284772
.71187717	.56900656
.89430666	.72065139
.88692611	.80736226
.92907619	.79772246
.91954672	.79397416
.89990616	.83909345
.61604184	.28511807
.42395514	-.026178986
.39890105	-.15208972
.50419039	-.12783116
.72677296	.63374817
.66532528	.48308086
.81775701	.4025709
.87046665	.66311896
.8777197	.76295537
.87114453	.7554394
.91488993	.82723701
.93012542	.8551392
.94900584	.86025083
.84610653	.8594014
.8361693	.7097466
.56861383	.17077649
.71160138	.59653091
.76141834	.42320275
.75405729	.52283669
.61907172	.50490737
.68175936	.43272343
.77038473	.52073509
.83664083	.63629007
.8113839	.67328167
.79446661	.62276781
.82401264	.31810093
.74700713	.67643249
.80412859	.49401423
.34711808	-.46307826
.34170142	-.26848066
.7062102	.55695391
.64193839	.47603908
.70566833	.28387678
.70569372	.41133666
.76190311	.54874694
.63894069	.52380621
.55162418	.36007398
.84955251	.58020234
.7691496	.71268922
.76111352	.58468527
.29742903	-.40322629
.36700451	-.39050996
.35472438	-.26599097
.72425264	.28829521
.77385914	.48701155
.72791988	.62751544
.38155326	-.034324944
.47183207	-.23689345
.47199979	-.056335837
.56841034	.071992785
.5757944	.13682064
.64662278	.26910651
.63242209	.20581582
.6812017	.32516187
.5019803	.39767182
.41995397	-.12101141
.36712959	-.16009209
.37166941	-.24602953
.91312712	.9302597
.93087226	.8654176
.50482672	.053584337
.69728553	.6169368
.90811431	.49799058
.71585321	.81622863
.57403284	.22790301
.48750183	.14806566
.51638579	.15495601
.82874852	.57776928
.81908357	.65749705
.77471644	.69005352
.9640727	.9490931
.97086155	.94380361
.97230053	.95481282
.9630667	.92579198
.95447719	.93406427
.41497189	-.1604763
.49084055	-.0032144487
.46095675	-.018318892
.39808291	-.078086495
.46231908	-.6654129
.51682818	-.01481694
.62006021	.088803768
.65574807	.32158113
.54249156	.45169407
.34985065	.21165252
.85468537	.64755189
.84366339	.71459258
.80452257	.68732679
.84981585	.59722269
.88001174	.71647918
.57804847	-.051500201
.57983577	.75997633
.59369016	.15967157
.5833863	.25552309
.74048412	.74194074
.80773246	.56543058
.86761141	.65084374
.75080645	.57900971
.46748498	.55185318
.42671216	-.065030068
.93506354	.7992484
.91061473	.88158262
.93205214	.84105664
.63640279	.16335836
.82765442	.31610146
.66422653	.54485297
.68440431	.49146739
.7313183	.3688086
.72429335	.46263659
.57755572	.48701078
.53263414	.31519207
.52260303	.200544
.97026914	.93743956
.96354312	.94731212
.96207196	.93695861
.90164256	.89639163
.56015915	.83070195
.61205709	.28824696
.39405066	-.15327936
.33591926	-.06897679
.62119538	.31385234
.63764799	.36575559
.67049479	.27529594
.55716616	.34098959
.74772805	.66909146
.78807503	.54058278
.78744739	.62177348
.8324464	.63143897
.8464365	.70470631
.82392853	.692873
.44560167	.043703049
.50296909	-.093076795
.62842488	.028386891
.37631166	-.38133729
.38832119	-.19438803
.32897645	-.014277965
.6648277	.35687563
.7249738	.32965544
.74632257	.44994757
.83576542	.70203865
.7195906	.67153084
.83714217	.58804756
.98572212	.93382561
.97959018	.97144425
.98214179	.95918036
.21244106	-.56663585
.23563702	-.55271852
.24391255	-.51392829
.66105121	.3582615
.74221289	.39214867
.6349318	.59567118
.64064932	.50009412
.65236646	.39375147
.64994675	.44698709
.7423647	.69780123
.76187259	.54937935
.71585709	.64226884
.86351699	.76148599
.84091526	.75910014
.83909386	.68183053
.27165774	-.41021255
.26671249	-.4230701
.26607752	-.44154984
.39523828	-.46863082
.42064306	-.20952344
.56326795	.65985548
.68503493	.62732267
.7146346	.46643001
.70577025	.53720427
.73370129	.51223773
.71876025	.54506874
.76170528	.4375205
.46372598	-.15238512
.51608437	.010511428
.56221479	.053658664
.96385187	.55855381
.61745948	.92770374
.64065379	.23491898
.26039952	-.47425318
0	-.38304067
.62460554	.26103413
.54693609	.3175649
.56227624	.22407889
.56584972	.27968565
.33409172	-.25940561
.60532939	-.30486232
.69857919	.26707977
.54510635	.15668222
.56072676	.10190591
.594365	.13346425
.29562789	-.46310329
.27617159	-.40874422
.31859657	-.44765678
.25012308	-.57105315
.20996933	-.4611122
.46788231	.64326084
.35542727	-.072897136
.42238504	-.23821312
.3546288	-.15522993
.54645133	.12436429
.58563268	.09290266
.36998326	.23880121
.29460794	-.31717145
.21301004	-.41078413
.19036193	-.56934619
.22414763	-.45576835
0	-.46566367
0	-1
.448906	-.15215218
.30607736	-.10218799
.51375544	.20608643
.32551485	-.2801255
.36803037	-.34897029
.47431225	-.26393926
.25391695	-.12647557
.23057692	-.43932042
.15665019	-.45057273
.3288981	-.15490377
.29984888	-.3236095
.20290537	-.32361767
0	-.41197288
.2495877	-1
0	-.50082457
.55211997	.0064162016
.6178143	.12909767
.42689878	-.08731398
.4193427	-.14365587
.41805351	-.16131461
.40331846	-.16389298
.47223908	.032703996
.44936356	.027398258
.52208424	-.029294014
.66631001	.096545249
.55761081	.33262005
.5504775	.11522162
.49094188	-.086397648
.4178617	-.0055884123
.3478359	-.15671539
.40115345	-.4905504
.42679474	-.19769311
.29766515	-.29968753
.37839696	-.32214054
.38110602	-.24320611
.4131262	-.21571839
.50277311	.063739747
.45643169	.039551795
.24729152	-.025038123
.79026037	.6338011
.76293421	.58551699
.77894187	.56606084
.68306148	.15137964
.93177837	.36612299
.6482451	.86355674
.57252741	.16569629
.64786488	.14505485
.36792749	-.23656127
.28588101	-.34797853
.36639377	-.42823794
.43255576	-.26721242
.45107731	.38496828
.4199422	-.081617802
.66207927	-.14879245
.46990037	.089933276
.45979601	.019545138
.33296126	-.080407977
.24249688	-.45333782
.26597494	-.46458355
.24632823	-.42232209
.61989111	.12157214
.57019627	.23978224
.31971905	-.29685867
.55790532	.22390351
.64668655	.1158106
.62855893	.29337311
.34985569	-.005523175
.3347508	-.30028859
.42935529	-.33049837
.44282424	-.10016194
.39490172	-.11435151
.31569564	-.21019658
.50991601	-.62475067
.56870705	.019832045
.59024113	.17384103
.45183349	-.34033203
.3222509	-.096333027
.33799344	-.13874862
.28173149	-.32490456
.36206457	-.43653703
.39600629	-.27587083
.32400203	-.12031066
.40864834	-.35199594
.27620593	-.17557225
.33499122	-.21916217
0	-.33001757
.22549483	-1
.41972733	-.49969709
.46613634	-.15487438
.43448123	-.067727327
.25350928	-.84784329
.25333646	-.4620955
.58802873	.14534685
.32535324	-.22954404
.54027551	-.34929356
.62304884	.080550998
.27730107	-.068094611
.28944057	-.44539785
.34232578	-.35157251
.54779625	.18182608
.52416635	.1070649
.29284689	.063105375
.86449564	.3409712
.72723275	.80764562
.55013561	.45446548
.29302117	-.30050862
.27278289	-.37971649
.35186619	-.45443425
.35856494	-.29626763
.34005097	-.16779387
.31469411	-.31668785
.33468565	-.37061179
.2673251	-.35104063
.3952826	-.41754264
.22560492	-.16422072
.85088354	.55137491
1	.70176709
.7750625	1
.31784251	-.23107868
.42540145	-.18746039
.49203262	-.1491971
.44664702	-.015934795
.55104464	.024063945
.51306856	.16820067
.40507108	.075413406
.30306041	-.38484955
0	-.35546523
.20724308	-.87135941
.39857376	.097252548
0	-.20285249
.28995267	-.96469551
.46207407	.0010736287
.32161939	-.27281329
.46173704	-.34884685
.44625816	-.076525927
.65826392	.27959585
.69377118	.31652784
.5190295	.39906007
.3574861	-.17136514
.26284155	-.28502783
.25317073	-.43069276
.38070887	-.042297542
.30449113	-.36776292
.35290855	-.39101776
.47408772	-.2941829
.22614262	-.13505676
.23386011	-.44696805
.22263815	-.4696314
.66638553	.1912334
.74109358	.33277103
.71738535	.50626785
.35390586	-.29220307
.2835038	-.43300724
.34198096	-.43299243
.36566293	-.3160381
.29956686	-.10136339
.27902874	-.37698573
.2940104	-.43153849
.78187746	.5042367
.78553468	.59696293
.82991505	.59073234
.31243411	-.16075078
.28287375	-.43769005
.41819093	-.4342525
.42445651	-.16361818
.29292831	-.16855812
.33089283	-.37942746
.28570676	-.30345485
.21841997	-.44277287
0	-.56316006
.18447803	-.94835681
.32581249	-.30370316
.29532966	-.29560378
.34849581	-.40934071
.40322563	-.30300835
.52307534	.055081397
.54600358	.046150655
.48393086	.12650025
.61788499	-.23069391
.58450401	.23576999
.54738319	.16900805
.33204818	-.027302176
.35659042	-.23776564
.36941436	-.28681913
.43507969	-.23853174
.38759065	-.052330583
.34033573	-.22481871
.36640722	-.30752599
.35001436	-.19777915
.35585698	-.26237103
.50302517	-.288286
.5624131	.0060503185
.76397735	.64174283
.77596432	.54378569
.79741889	.55192864
.41426095	-.044103712
.40329775	-.15201235
.41137508	-.18325797
.42391542	-.17724982
.47994307	.039729297
.31334883	-.31269205
.34065893	-.37330234
.34696656	-.29713115
.48275486	.055277318
.3308585	-.23642081
.53765529	.068529636
.62696475	.23009408
.6469416	.2539295
.76950073	.2938832
.66065407	.43656346
.74737066	.32130814
.69215083	.49474129
.74445885	.52553147
.54013878	.48891771
.54013878	.083135322
.74743932	.49859878
.76315212	.49487865
.79426879	.52630424
.87505424	.63038993
.81157666	.75010848
.56962425	.086963058
.62323594	.22494173
.6628291	.24647188
.72259378	.3256582
.59922636	.6048646
.70021784	.19845271
.6821875	.40043566
.74345911	.48014522
.54013878	.48691818
.54013878	.083135322
.9839381	.82734513
.93713361	.9678762
.92095578	.87426722
.87992227	.71756053
.86527061	.75984454
.49656466	-.040620446
.59944737	.1072112
.63535726	.19889477
.69659936	.27071455
.56640267	.44036922
.6129787	.13280532
.56362456	.22595739
.73537481	.50711513
.54013878	.47074962
.54013878	.083135322
.61779857	.28159106
.63212419	.23559716
.60015088	.26424834
.68896079	.25348353
.59349811	.37792161
.57475668	.15788722
.69121289	.31462681
.72552836	.38242579
.78408378	.45105669
.51883537	.28253821
.59306288	.037670732
.59414721	.19608736
.67519456	.41951442
.54013878	.35038912
.54013878	.083135322
.60404366	.13580564
.69803995	.21717605
.55900079	.40314803
.64223731	.28340086
.6382401	.28447464
.5548839	.01454398
.53341675	.10052422
.55254924	.066833496
.60958201	.10509849
.59136379	.30420348
.69077462	.18272761
.66884768	.38154924
.40451089	-.19193447
.54013878	-.19097826
.54013878	.083135322
.34259725	-.33866096
.21791847	-.31480551
.57112759	-.56416309
.39717513	1
0	-.20564973
.49711803	-.13933945
.48463234	-.011850387
.55403596	-.030735344
.59580606	.10807189
.56142437	.24101171
.51430553	.12284875
.65030777	.039055735
.7382623	.50567967
.54013878	.48354676
.54013878	.083135322
.69114083	-1
.63138121	.38228166
.57012576	.27022046
.58554155	.13498452
.61001909	.1785807
.3732546	-.23578486
.38091385	-.21756589
.40796903	-.23817229
.47044694	-.18406191
.36772877	-.022982597
.42654592	-.26454246
.40791082	-.13856244
.54116225	.11575219
.54013878	.082324535
.54013878	.083135322
.38712674	.001657933
.32184505	-.22574651
.65286136	-.35630989
.32383946	-.39343724
.2819525	-.34547737
.41840044	-.18410763
.44067401	-.024840117
.45712772	-.11865199
.43903205	-.08574459
.40450627	-.021813184
.37090051	-.19098747
.3970283	-.20861769
.49495578	-.15309468
.54013878	.0069189966
.54013878	.083135322
.55034089	.017854571
.56813967	.10068175
.56633246	.15297073
.35286111	-.39443931
.32607889	-.23813796
.32781202	-.34154379
.31609347	-.2530416
.38072366	-.36781302
.33402383	-.23855269
.37378237	-.15370691
.35427046	-.25243524
.40847999	-.2749024
0	-.13032702
.54013878	-1
.54013878	.083135322
0	-.33085749
0	-1
0	-1
.26276881	1
0	-.47446239
.51513064	.17021003
.44204774	-.0099551976
.50434035	-.11590448
.45224693	.0086806715
.33230478	-.015761107
.32791919	-.33539045
.32816193	-.33848286
.37435734	-.2989291
.54013878	-.25128531
.54013878	.083135322
.25336951	-.5422442
.26756763	-.49326098
0	-.46486473
.36225343	-.34612429
.48406953	-.23563546
.54369354	.036481023
.5305261	.01864633
.61700433	.061052173
.6709162	.23400867
.67235261	.5487107
.69962138	.34470525
.96627653	.41457215
.70964807	.49082696
.54013878	.41929612
.54013878	.083135322
.70610589	.1714437
1	.41221181
1	1
.68006384	.33061901
.66838777	.36012769
.43184415	-.21118167
.43549585	-.10964012
.45117521	-.12900829
.47647589	-.097649574
.33066115	-.17133951
.31517157	-.33867773
.33406445	-.35945746
.67684388	.16129914
.54013878	.35368773
.54013878	.083135322
.6742115	.39558032
1	.348423
.61737049	1
.69997138	.37829587
.68494964	.39994273
.49825847	.039245427
.33262393	-.28674832
.37115636	-.33475217
.38230821	-.25768724
.27515396	-.18155542
.36797288	-.4496921
.39333409	-.25203148
.36594063	-.2496686
.54013878	-.26811874
.54013878	.083135322
.41480806	-.12229371
.33429128	-.1703839
.39696655	-.33141744
.48874092	-.041999489
.51550221	-.00034147501
.39110747	-.30370632
.51341629	.23966742
.58281147	.029736906
.53780466	.17173737
